Product Name,Total number of comments (backer only),Number of Negative Comment,Number of Neutral Comment,Number of Positive Comment,% of Negative Comment,% of Neutral Comment,% of Positive Comment,Overall Score,Number of creator comment
arcus-collective,0,0,0,0,0,0,0,0,0
cimsec-outreach-2016-2017,0,0,0,0,0,0,0,0,0
voodoo-open-world-survival-in-primal-africa-on-ste,50,9,12,29,0.18,0.24,0.58,0.276714,0
become-a-professional-vr-game-developer-from-zero,19,3,1,15,0.16,0.05,0.79,0.365042105,19
the-great-alumni-roundup-tour-a-cig40-project,5,0,0,5,0,0,1,0.87842,0
dragon-skies-vr,10,3,4,3,0.3,0.4,0.3,0.09199,2
tentacle-bento-by-soda-pop-miniatures,50,6,19,25,0.12,0.38,0.5,0.305338,0
made-to-measure-leather-shoes-for-women-and-men,50,4,10,36,0.08,0.2,0.72,0.434082,0
screw-u-the-perfect-gag-gift-for-all-occasions,34,6,12,16,0.18,0.35,0.47,0.214629412,8
kobe-red-100-japanese-beer-fed-kobe-beef-jerky,50,18,8,24,0.36,0.16,0.48,0.114462,0
fritz-a-video-game-about-world-war-one,50,3,9,38,0.06,0.18,0.76,0.41551,0
real-life-first-person-shooter-level-3,16,1,1,14,0.06,0.06,0.88,0.6554125,0
blaze-cooking-system-for-hiking-camping-expedition,17,1,1,15,0.06,0.06,0.88,0.592517647,0
snowflake-chocolate-box-molds-and-tools-3d-printin,1,0,0,1,0,0,1,0.7542,0
weather-point-the-worlds-smallest-weather-station,50,12,7,31,0.24,0.14,0.62,0.322536,0
fipy-the-worlds-first-5-network-iot-dev-board,50,14,12,24,0.28,0.24,0.48,0.091478,0
chessaria-the-tactical-adventure,50,7,14,29,0.14,0.28,0.58,0.283492,0
cabal,30,2,4,24,0.07,0.13,0.8,0.54779,20
v1-the-first-electric-nail-clipper,50,13,11,26,0.26,0.22,0.52,0.214976,0
cyndr-sentry-gaming-intruder-notification-device,3,0,0,3,0,0,1,0.7611,0
frisenvangs-sustainable-handspun-alpaca-yarn-new-c,13,1,1,11,0.08,0.08,0.85,0.593130769,11
terrain-4-print,50,5,10,35,0.1,0.2,0.7,0.357828,0
stock-and-barrel-100-american-handcrafted-leather,31,2,10,19,0.06,0.32,0.61,0.372741935,19
beautiful-coin-rings-and-creations,20,4,7,9,0.2,0.35,0.45,0.14985,3
electron-dice,36,0,7,29,0,0.19,0.81,0.529683333,14
greksson-traditional-and-ecological-products-in-sw,12,3,2,7,0.25,0.17,0.58,0.297541667,0
your-ideal-rpg-make-a-complete-role-playing-game-i,50,7,5,38,0.14,0.1,0.76,0.456456,0
whisk-wiper-whisking-made-easy,50,5,10,35,0.1,0.2,0.7,0.434236,0
marvin-the-lora-development-board,49,3,9,37,0.06,0.18,0.76,0.41537551,0
luxe-makeup-brush-cleaner,50,11,6,33,0.22,0.12,0.66,0.375764,0
drft-worlds-first-racing-simulation-right-on-your,50,13,7,30,0.26,0.14,0.6,0.21107,0
the-second-breakfast,50,6,7,37,0.12,0.14,0.74,0.391266,0
nylivearts-we-hold-these-truths-to-be-self-evident,1,1,0,0,1,0,0,-0.1932,0
support-an-artist-this-christmas,0,0,0,0,0,0,0,0,0
koi-fish-pins-0,9,2,0,7,0.22,0,0.78,0.476911111,4
hand-crafted-minimalist-wallet-by-volo-the-non-wal,31,3,4,24,0.1,0.13,0.77,0.539425806,0
puremodules-for-dreamers-tinkerers-hackers-and-des,16,2,4,10,0.12,0.25,0.62,0.29503125,0
ps-1a-adjustable-miniature-switch-mode-dc-dc-power,50,1,12,37,0.02,0.24,0.74,0.423048,0
tantrum-cycles-the-missing-link-in-full-suspension,13,1,2,10,0.08,0.15,0.77,0.566030769,0
starvox-the-world-s-first-walkie-talkie-smartwatch,50,13,12,25,0.26,0.24,0.5,0.160712,0
treplev,0,0,0,0,0,0,0,0,0
philadelphia-rebuilds-hitchbot,8,1,1,6,0.12,0.12,0.75,0.4752125,0
the-sword-of-the-bastard-elf-a-two-fisted-fantasy,50,6,7,37,0.12,0.14,0.74,0.433632,0
the-phone-box-movementtm,1,0,0,1,0,0,1,0.6588,0
farflung-sci-fi-role-play-after-dark,50,2,21,27,0.04,0.42,0.54,0.298682,0
allcade-a-game-console-in-your-favorite-retro-cart,50,13,15,22,0.26,0.3,0.44,0.177572,0
robonauts-search-for-si-borg,0,0,0,0,0,0,0,0,0
goblins-and-sea-demons-wargames-miniatures,34,2,9,23,0.06,0.26,0.68,0.403629412,16
atlanta-clay-works,2,0,0,2,0,0,1,0.95855,0
the-muncher-titanium-multi-utensil,50,5,19,26,0.1,0.38,0.52,0.2917,0
the-man-with-four-legs-self-distribution,3,0,0,3,0,0,1,0.764433333,0
hardwood-sax-stand-alto-and-tenor-saxophone,0,0,0,0,0,0,0,0,0
touched-on,32,6,7,19,0.19,0.22,0.59,0.289678125,0
life-like-racing,1,0,0,1,0,0,1,0.9738,0
2-in-1-global-youth-calendar-2017,0,0,0,0,0,0,0,0,0
figure-fantasy-art-nude-photos-in-limited-edition,0,0,0,0,0,0,0,0,0
wallor-the-slim-wallet-combining-luxury-and-techno,50,7,6,37,0.14,0.12,0.74,0.391834,0
creating-a-game-start-to-finish,37,3,8,26,0.08,0.22,0.7,0.430110811,0
bionictoys-because-nature-is-flexible,24,1,3,20,0.04,0.12,0.83,0.585533333,0
us175-customizable-retro-watch-challenge-by-undone,50,20,8,22,0.4,0.16,0.44,0.062238,0
inferno-farms-hot-sauce-heat-is-heat-but-flavor-is,5,1,1,3,0.2,0.2,0.6,0.29778,0
new-home-for-chattanooga-aerials-and-chattanooga-c,1,0,0,1,0,0,1,0.8071,0
cybox-stationery-and-snail-mail-subscription-servi,5,0,1,4,0,0.2,0.8,0.46508,0
armbot-affordable-robotic-arm-3d-printer-running-w,50,14,11,25,0.28,0.22,0.5,0.152184,0
voort-one,50,1,11,38,0.02,0.22,0.76,0.60633,0
the-universe-in-a-sphere-relaunch,50,12,11,27,0.24,0.22,0.54,0.20295,0
natural-corn-leaders-gourmet-popcorn-co,3,0,0,3,0,0,1,0.815866667,0
sacred-realms-video-game-silkscreen-art-prints,9,0,1,8,0,0.11,0.89,0.546622222,0
juno-the-smartest-makeup-mirror-ever,50,11,4,35,0.22,0.08,0.7,0.28214,0
stagg-ekg-the-electric-pour-over-kettle-for-coffee,50,2,8,40,0.04,0.16,0.8,0.45807,0
the-other-side-9,50,12,7,31,0.24,0.14,0.62,0.296208,0
treasure-of-guska-cajiib-ah,0,0,0,0,0,0,0,0,0
the-tiny-ts-an-open-sourced-diy-touch-synthesizer,50,8,19,23,0.16,0.38,0.46,0.20281,0
firefly-rk3399-six-core-64-bit-high-performance-pl,50,13,13,24,0.26,0.26,0.48,0.103474,0
the-faith-club-a-new-film-from-avondale-pictures,2,0,1,1,0,0.5,0.5,0.17,0
cerin-the-spirit-catcher-plush-doll-by-creepy-kawa,20,3,3,14,0.15,0.15,0.7,0.42743,7
rihanna-pez-pin-launch,0,0,0,0,0,0,0,0,0
the-binary-project-robin-eley-gives-away-a-paintin,32,2,8,22,0.06,0.25,0.69,0.516815625,0
stories-from-the-front,0,0,0,0,0,0,0,0,0
the-nexd1-the-first-multimaterial-and-electronics,50,12,11,27,0.24,0.22,0.54,0.222242,0
bibo-barmaid-rethink-the-drink,0,0,0,0,0,0,0,0,0
trespassion,0,0,0,0,0,0,0,0,0
a-stand-the-ultimate-lap-desk-case-tray-stand,50,8,9,33,0.16,0.18,0.66,0.398454,0
1bitsy-and-black-magic-probe-demystifying-arm-prog,30,2,8,20,0.07,0.27,0.67,0.377073333,11
yoswit-reinvented-smart-wall-switch,50,8,14,28,0.16,0.28,0.56,0.237714,0
hang-and-roll-the-perfect-organizer-for-every-trav,50,12,10,28,0.24,0.2,0.56,0.210028,0
dante-brown-warehouse-dance-2017-season-launch,0,0,0,0,0,0,0,0,0
cord2go-charge-and-sync-lightning-keychain-for-iph,50,6,14,30,0.12,0.28,0.6,0.246428,0
anniversary-by-snyder-and-ditko,17,0,3,14,0,0.18,0.82,0.616788235,0
flare-pro-next-gen-light-for-cycling-hiking-and-ru,50,5,14,31,0.1,0.28,0.62,0.316148,0
key-2ool,37,4,13,20,0.11,0.35,0.54,0.245672973,0
magcord-an-ultrafast-charging-cord-works-on-all-de,50,15,12,23,0.3,0.24,0.46,0.100486,0
help-monochrome-seasons-fund-his-new-album-space-c,5,0,1,4,0,0.2,0.8,0.49806,0
pampa-folks-enregistre-son-1er-album-indie-pop-wes,0,0,0,0,0,0,0,0,0
prometeo-first-affordable-italian-automatic-elegan,50,14,8,28,0.28,0.16,0.56,0.218132,0
foil-standard-edition-playing-cards-v2-5-color-pac,8,0,1,7,0,0.12,0.88,0.5653625,0
